date,score,review
2025-07-17,9.0,"""On Earth, nothing was working out, and I wanted to get the hell out of there.""

Impressive.

Weird, entertaining, and very well executed. Bong Joon-ho excels at creating this deep dystopian world, full of meaning and coherence.
Excellent performances, especially Robert Pattinson's, who once again showcases his acting versatility.
I enjoyed the first half much more than the second; even so, I consider it a very good and fun movie. Totally recommendable."
2025-07-16,5.0,Robert Pattinson and Naomi Ackie are the only things saving this movie from being in my trash list this year. Wonderful acting on their part but the movie feels like it has been re-written dozens of time. It lacks consistency in themes and ends up exploring none of them.
2025-07-16,6.0,"It was pulpy and well shot, and while the idea was interesting I didn’t find the movie as interesting.  It felt like the movie bit off slightly more than it could chew"
2025-07-16,7.0,"Really fun movie, especially if you're looking to shut your brain off for a bit and just enjoy an interestingly bizarre journey. As is tradition, Pattinson displays top tier acting. Mark Ruffalo is easily the worst part of this move. His character is written decently well, but he is clearly doing a very uninspired and pitiful Trump impression that isn't even suitable for SNL. They should've cast Shane Gillis instead."
2025-07-14,7.0,"The concept is pretty cool, and the inner workings of how the concept is explained is gritty. Pattinson pulls off another great role and delivers in every way and then some. While the plot seems to trail off a bit, the performances help in the end."
2025-07-14,6.0,Good and interesting but plot side tracks. Acting is good
2025-07-13,10.0,"No entiendo porque muchos critican esta película como mala. Yo opino que los que lo hacen no les gusta pensar, y ni siquiera te tienes que esforzar tanto para entender, nos hace cuestionar como humanidad quienes nos están dirigiendo personas estúpidas sin humanidad. Y ni una mínima idea en muchos sentidos.
Aparte de eso la película es entretenida y divertida para mi,  estuve pegado todo el tiempo pensando en lo que podría pasar, para mi eso hace a una película buena una que te saque de la idea de tu cotidianidad. Y te plantee cosas interesantes, más de una vez me hizo soltar una carcajada es un humor que no se si todos entienden pero en lo personal se me hizo muy bueno, si lo logras entender lo vas a disfrutar mucho. Y la pasaras muy bien. No se me hizo tan explícita o vulgar siento que muchas personas soportan mas acción cruda como john wick y que no tiene tanto sentido ( a mi si me gusta)"
2025-07-13,4.0,"meandering and directionless at times, too much farce and its sci fi setting felt strained.  Some of the set pieces felt like they were lifted from a stage play.  I got so bored with some of the lengthy scenes (that were mostly unnecessary) I got up and started cooking dinner ...... unfortunately a bit of a yawn fest by the time the 3rd act kicked off."
2025-07-13,4.0,"Good performance by Robert Pattingson, Besides that, not a good movie. Naomi Ackie is insufferably bad at acting & the movie was dragged out far too much. Don't recommend."
2025-07-12,8.0,"I liked it a lot. A perfect comedy sci-fi film. Also Mark Ruffalo steals the show. 8/10 for me.

Underrated but well worth the watch."
2025-07-12,8.0,"Honestly a very refreshing, original concept this whole film was! Pattinson was great, as well as the rest of the cast. Hoping there’s a sequel of some kind eventually."
2025-07-12,4.0,The concept of the movie was good.  Pattinson just didn't do it for me.
2025-07-12,1.0,mark ruffalo acting horrible
2025-07-11,7.0,"Visually stunning and narratively ambitious, Mickey 17 is a bold, cerebral sci-fi ride with a surprising emotional core. Robert Pattinson delivers a layered performance that’s equal parts existential and endearing, grounding the film’s high-concept ideas in real human stakes. Bong Joon-ho blends philosophical depth, dry humor, and striking world-building with his trademark genre-bending flair. While the pacing drags in a few spots and some ideas feel underexplored, the film sticks the landing with style and substance. Thought-provoking, weird, and quietly powerful. Mickey 17 is a clone story that’s anything but copy-paste."
2025-07-11,7.0,"Tiene una duración absurda y en mi punto de vista pudo ser más corta pero memorable, es una buena película, pero si es algo pesada que no me dieron ganas de repetirla durante un tiempo."
2025-07-10,2.0,"It had okay parts, but on the whole it was just a kludged mess, like they had 3 decent movies and cut them into one bad one. Inexplicable and useless characters left and right, pointless plot threads that come up and are dropped, even the core mechanic of the story is basically completely irrelevant for most of the story. 

I'd seriously give it a 1/10. And that's rare for me. Pattinson's decent performance can't make up for an awful, nonsensical story that doesn't even really make you think."
2025-07-10,5.0,"Not sure what I expected going into this, but it wasn’t what I ended up seeing. Interesting premise executed oddly. The movie was trying to be funny at times when it shouldn’t have. Also, Robert Pattinson’s accent just annoyed me in this."
2025-07-10,10.0,"I believe Bong Joon Ho has become a master director. The first film he directed and that I saw was Parasite. I was blown away by his directing, the production, cinematography and acting. A S. Korean friend who also enjoys Parasite told me that the class differences, their style or ability to live is spot on.

When I watched Mickey 17, I was not disappointed. Robert Pattinson is a marvelous actor, as are the big-name actors-in fact, the entire cast.  Bong Joon Ho’s ability to envision a dark future is exceptional.

I have watched as many of the director’s films as are available and he has become better over time. What’s next?"
2025-07-10,7.0,"Mickey 17 presents a thought-provoking sci-fi premise with intriguing ethical dilemmas and a visually captivating world. Though some narrative threads feel underexplored, its ambition and atmosphere make it a solid watch for fans of speculative storytelling."
2025-07-10,7.0,"Bong Joon Ho’s latest sci-fi entry comes in the form of the adapted Edward Ashton novel, Mickey 17 (the book is called Mickey 7 but Ho wanted to add more deaths for the titular character, hence naming it Mickey 17).

Robert Pattinson stars as Mickey Barnes, a down on his luck individual who gets the most unwanted job possible, an “expendable”, where he is utilised to go on the missions no-one else wants and coming back to life with a high tech cloning machine. Pattinson does a stellar job portraying the many versions of Mickey. From weak and timid to a complete psychopath, Pattinson’s range is highly entertaining to watch.

Coming off the back of an incredible performance in “Blink Twice”, Naomi Ackie plays love interest and badass soldier, Nasha. Ackie does a terrific job throughout the movie and carries her action sequences (albeit not that many) well. Mark Ruffalo and Toni Collette play Kenneth and Ylfa Marshall, two politicians whom are clearly based off POTUS Trump. There comedic timing is so good and they make it very easy to hate them throughout the movie.

The set looks fantastic and easily draws you in to the sci-fi world Bong Joon Ho is establishing.

There’s some great humourous moments throughout, especially from Pattinson’s character as he fears death and simply wants to live a normal life with his girlfriend Nasha. I loved the creature design as well. Reminded me of a mixture of the beetle-like bugs in “Starship Troopers”, “Okja”, and an Elephant.

Whilst I enjoyed the movie, I wasn’t as captivated as I had hoped. I’m a fan of Bong Joon Ho’s work but this hasn’t become a favourite.

7/10"
2025-07-09,2.0,"One of the worst movies I’ve seen in years. Acting was crap from Mark Ruffalo and Robert P. The aliens were very cool though —  it gets a star for those effects. So, so difficult to sit through."
2025-07-09,6.0,"Although not Bong Joon Ho’s finest work, such as his acclaimed films Parasite and Snowpiercer, Mickey 17 showcases Robert Pattinson’s exceptional acting prowess, transcending his previous roles in the Twilight series as Pattinson performances are a delight that seamlessly blends humour and engagement with the film’s tone. Moreover, Bong Joon Ho’s meticulous craftsmanship in crafting this original film is commendable. However, the film’s overall atmosphere suffers from a lack of depth, with Robert Pattinson’s performance serving as the sole beacon of light. Unfortunately, the rest of the film fails to fully capitalize on the potential of its setting and narrative.

Grading: B-"
2025-07-08,9.0,"Mark Ruffalo channeled his inner Jack Nicholson, Nic Cage and Danny McBride and chews the scenery like a wood chipper! The indigenous creatures were very well-rendered and the realistic look helped the film. Way better than I thought it would be."
2025-07-08,8.0,Great story line! Nothing like it and was something fresh and new to watch! 4 star!
2025-07-08,7.0,Robert Pattinson is such a good actor. Easily the best part of this movie.
2025-07-08,4.0,I was so looking forward to this but it was a huge disappointment. An interesting premise suddenly changed into a predictable coloniser movie while simultaneously throwing shade at Trump and his idiot followers. Mickey switches between simple and wise with his voice becoming unbearably grating every time he goes into stupid mode. The director would have done better to stick to the original book material.
2025-07-08,8.0,"One of the best movies I've seen in 2025. A movie that reminds us that the life is short and we need to live it the best that we can. My congrats to the director for making this great movie. 8/10, one of the best Blockbuster-Type movies ever."
2025-07-08,7.0,"Acting was phenomenal, story line was engaging, delivers on what’s presented in the trailer. Fun movie, well worth the rental."
2025-07-07,7.0,Enjoyed the film but it feels like something was missed and I can’t put my noggin on it. Definitely worth a watch and forming your own opinion on if this is just a dark comedy or something we blissfully ignore in the real world.
2025-07-07,9.0,"Expertly blends sci-fi and social commentary with a compelling story, allowing for independant thought about its lesser explained facets during its admitadly lengthy runtime."
2025-07-07,10.0,I really enjoyed this film and the work that was put into it. I'm confused as to why so many people leave harsh reviews and I suspect they weren't paying attention or didn't finish it. I was lost in this ugly universe! Robert Patterson crushed it and I didn't even recognize him until I looked up the cast. Mark Ruffalo was also great at playing a character I hated even more than Deloris Umbridge! The rest of the cast was also great!
2025-07-07,6.0,"I enjoyed this, but it seemed a little long. I think Robert Pattinson did a great job though, and it was easy to see the distinction in Mickey 17 and 18. There were quite a few political parallels to current day, but I don't believe they would move the needle one way or another for any viewer. I think there was a deeper philosophical meaning that could have been explored a bit more, but stopped before we went too far."
2025-07-07,5.0,Original but boring.
2025-07-06,2.0,"This film seems intent on making a meaningful point through its casual, almost cavalier treatment of life—but instead, it left me feeling deeply uneasy. While the premise holds real potential and appears to aim for satire, the execution misses the mark, coming across more as a glorification of life’s devaluation rather than a critique of it. Ultimately, it’s a strong concept that’s undermined by clumsy and ineffective storytelling."
2025-07-06,10.0,"A strange and satirical joyride of a movie. With a twisting plot line that reaches for a bit of everything and through line of accepting others regardless of species while lambasting corporate greed and cultish following this was fun to watch and re-watch.

The first movie in over a decade that made me cry out in fear and horror. It evoked tears and laughter and the ending will stay with me for years. I cannot recommend it more highly."
2025-07-06,7.0,There's some good science fiction despite the inexplicable straying from source. Well acted. Almost has a few coherent things to say. Happy but weak ending.
2025-07-06,8.0,Make sci fi weird again!
2025-07-06,2.0,This movie is incredibly unlikable.
2025-07-06,4.0,Might have been edgy 40 years ago. Now just convoluted and cheesy. Pattison was good though.
2025-07-06,7.0,Its like a 3.7/5. Good but a little too long.
2025-07-05,7.0,"TOTAL SCORE: 77

Story — 7
Acting — 10
Direction — 7
Pacing — 8
Visuals — 9
Target Audience — 8
Resonate — 7
Emotional Value — 7
Entertainment Value — 14"
2025-07-05,3.0,Cool premise and a totally different side of Robert Pattinson.  Started off alright but then quickly drags in the middle of the movie.  The political satire absolutely was the final nail in the coffin.   What could have been a fun film ended up boring and trite.
2025-07-05,10.0,"Absolutely excellent! Robert Pattinsons acting is beyond phenomenal. The story was entertaining, hilarious and thoughtful."
2025-07-05,4.0,"Such a cool premise, but what a stupid movie…"
2025-07-05,6.0,"Filme ousado, porém extenso demais, no final, acaba cansando."
2025-07-04,6.0,"HBO is lying when they say this is a comedy, it's not. It has funny moments, but it's not a comedy. I thought it was a well made and acted movie with some mostly good cgi. The writing is good but they story was a little long and should have been cut down a bit. I think it would have flowed better. I think Robert Pattinson does a great job and Mark Ruffalo cements himself as a great bad guy with this and Poor Things. The themes the story was getting weren't hitting me over the head with metal baseball bat, more like a foam one but could have been a little more subtle. Overall, I had good time but definitely felt the run time. Not going to really think about rewatching this one"
2025-07-03,4.0,"Every idea felt executed without a clear plan. The characters were unique but would fall to cliche. Often times laughing at and not with the movie. 

This is a good date movie though because if you miss a scene chatting or laughing it doesnt matter at all."
2025-07-03,7.0,"A film that flirts with greatness from start to finish, but never quite gets there. It tries to do too much and just ends up being frustrating at times for not sticking to the parts that make it good. They bring back plot points from the beginning that don't need to be there and don't really add anything of value to the overall story. The silly gangster plotline should've just been left on earth. 

Mark Ruffalo is a cartoonish villian who is clearly a parady of Trump, even down to his supporters wearing red hats. While he captured the man's idiocy and ability to be controlled by the people around him, he just never feels like a fully fleshed out character.

It's a decent movie overall, but I think it's how close it came to being great that takes it down a few notches."
2025-07-03,3.0,"Mickey 17 is slow and uses a bludgeon to tell its social commentary. Look for no subtle touch here , You will want to read email while watching this mostly boring and tedious movie ."
2025-07-03,10.0,"Entertainment that through well-used comedy, shows the many cruelties of humans towards animals, using the excuse of science to benefit themselves, whether with power, wealth or anything else that “indicates” their own navel. and the title already makes an allusion to an animal widely used in laboratories, and “trademark” of a large film company, since from the name Mickey 17, if we take the number and put “Mouse”, we have…"
2025-07-02,8.0,"Good movie — it’s as if Star Wars and Interstellar had a bizarre baby. The cinematography is beautiful, but its blend of genres might feel a bit heavy for some. However, Robert’s performance is truly commendable. It’s a very good film with a unique vibe that doesn’t quite stand out because it doesn’t seem to know what genre it belongs to — but even so, it’s an excellent sci-fi movie."
2025-07-01,4.0,"A cluster of over narrated and underdeveloped themes and ideas overwhelm the screen, until all that remains is a bonkers fun Ruffalo performance and a fine Pattinson one."
2025-07-01,5.0,It was a very long weird movie that I could never really tell if I was enjoying it or not?
2025-07-01,1.0,"Started watching this on 3 occasions based on my normally trustworthy sister, who liked it.  Loved Parasite but this attempt at a movie is just insultingly stupid."
2025-07-01,10.0,"Original, weird, captivating and so fun!!"
2025-06-30,8.0,"I liked it, but I was really expecting a different story, something that explored more of the premise, instead it shifted to an alien animal rights story that just happened to have two Pattinsons."
2025-06-30,10.0,Great “popcorn” movie. Theres some wasted potential as this couldve been even better as a tv show. This wont have you at the edge of your seat or become your top favorite but its very entertaining and you wont regret putting it on.
2025-06-30,6.0,Could have been better. Sometimes got boring but was alright for the most part. Robert does great work in the movie.
2025-06-29,8.0,"An interesting film, as well as an interesting way of showing how to make a film in which there are diverse characters without annoying a quarter of the world. Worth recommending with a terrifying vision of immortality."
2025-06-29,7.0,Similar tone of farcical sci-fi as Hitchhiker's Guide to the Galaxy/Breakfast of Champions. Lots of Rob Pattinson. Mark Ruffalo as a Marlon Brando/Txxxp combo. Nature shows up in the form of some big tardigrade-esque vermin.
2025-06-28,4.0,"It started out great, but went way too long.  Yeah, we get it that he is killed over and over and over and is reginerated.  I just found myself getting very bored after the first 45 minutes.  Only watch this one if you are bored out of your mind and have absolutely nothing else to watch."
2025-06-28,2.0,"Mickey 17 is a high-concept sci-fi with vast ambitions and beautiful visuals, anchored by a strong lead performance from Robert Pattinson. Yet its execution feels fractured—an uneven blend of existential rumination and cartoonish political satire. Mark Ruffalo’s cult-like villain, intended as biting parody, instead overstays and distracts. The narrative feels bloated and tonally whiplash-inducing: a film on the verge of brilliance that never quite coalesces."
2025-06-27,7.0,"Why does Mickey sound like Peter Parker from the first spider-man lol Timo bro help my man out instead taking his crap what a “great” coworker lol. I wont lie that is terrible only being used as an expermient and just keep dying over and over bro thats so freakish and what about how Mickey feels I know I would feel used and unloved will not catch me doing this. So bro only did this job to run away and not get kiiled, did not read the full insurctions lol and then scent of a woman land boom here we are lol. Kenneth Marshall seems like a scam artist like Two-Face from batman lol of course my man has a freaking crush lol but he bold with it okay Mickey get into it man. Mickey already broke the sexual intercourse rule thats funny and bro doesnt even know it. Oh nice after so many trys they evntually got the vaccine for what was in the air thats cool now the humans can walk, I do see the bits of comedy on this movie I wont lie is a little cheesy. Bro 33 minutes and so much crap happen and that was the intro crazyy okay and hanging with the creepers they are a little scary looking but kind of cute. So you got mutiple’s with  two differnt personilty Natasha loves it so much she going have the best time of her night lol I cant with this movie. Natasha is a great girl she really sat in the damn tube with him while he was dying that is so freaking cute I love the love. Told you Marshall was a dickhead he has no sense of feelings the creepers are not trying to engange in a damn war, they just want there freaking baby  back yall are making mama angry!!. Finally some good people taking voer this whole program was just run horribly by some wrong ass people thank goodness for Mickey 17 and 18 team work is always the best I loved Natasha acting and her actions she has made in this movie."
2025-06-27,10.0,I thoroughly enjoyed the film. The entire cast was great.
2025-06-26,8.0,"“Our entire life is a punishment.”

Mickey 17 is another prime example of Bong Joon Ho’s remarkable ability to craft a film rich in social commentary and thematic relevance. A film that heavily satirizes the current state of politics, Mickey 17 does not fear touching on subjects of capitalism, corruption, and colonialism. Blending the genres of comedy and science fiction, Mickey 17 maintains a lighthearted tone despite touching on such heavy subject matters. Bong Joon Ho delivers his most science fiction story yet, though there are some interesting similarities to The Host and Okja, and I can certainly see Mickey 17 be one of Bong Joon Ho’s most polarizing films. With its fair amount of ridiculousness, there are moments where the humor does feel a little too jarring to the overall story. However, the performances throughout Mickey 17 are fantastic. 

Robert Pattinson shines as both the lead role and as a supporting one. Delivering two great performances, it becomes more apparent that Robert Pattinson is one of the most talented actors working today. While Pattinson delivers the best performances in Mickey 17, Mark Ruffalo delivers the most memorable one. Ruffalo is entertainingly ridiculous in his performance that satirizes corrupt politicians. Through his silly mannerisms and comedic facial expressions, Ruffalo highlights a career standout performance. The supporting performances from Naomi Ackie, Steven Yuen, and Toni Collette also contribute to the overall success of Mickey 17. The dynamic between Naomi Ackie and Robert Pattinson is crucial to the heart and emotion of Mickey 17, but it’s Bong Joon Ho’s ability to infuse an emotional connection between the audience at the “Creeper” creatures that is the most impressive. 

Overall, Mickey 17 is Bong Joon Ho’s longest film, yet there is no dull period and the film flows smoothly. With brilliant visual effects and beautiful cinematography, Mickey 17 is science fiction storytelling at its most interesting. Robert Pattinson is phenomenal and Bong Joon Ho brings out one of the best performances of his filmography. With Bong Joon Ho writing the adapted screenplay and directing the film, Mickey 17 is explosive, exhilarating, and dynamic."
2025-06-26,6.0,"The work manages to bring good and current political criticism, but the plot that structures it, in general, is not that exciting."
2025-06-25,7.0,"More about the reviews here than the movie itself:
This movie is based off a book that the author began writing in 2015, and released in 2022. The movie is by a *South Korean* writer / director.  If you're finding some parallel to an *American* political situation, art allows you to find relevance and relation in your own life. However! Not everything is about the US or the current moment! This place is not the center of the world, and this is not the only point in time to ever exist!"
2025-06-25,7.0,Interesting premise and Robert Pattinson is excellent. I not so subtle social commentary wrapped in an absurdist blanket. Over all I enjoyed the movie but it lost its way and could really use an edit. 100 - 110 minutes total would make a better movie.
2025-06-25,8.0,"La pelicula es muy buena y cumple con todas las espectativas, una buena critica social, un buen contexro y buenos personajes."
2025-06-25,3.0,"While many seem to praise this film as some sort inspired social commentary, those people must lead very sheltered life.  What started off as a fun concept, and a beautifully told dark comedy, turned into banal predictable garbage.  One of the worst films I've seen this year.   The popcorn score really let me down on this one.   Maybe you need to be high to make it good?  Not for me."
2025-06-24,6.0,"Love this director (Mother/Parasite!!) but while some of the premise was certainly creative, the main characters and story were a bit watered down by (Big Hollywood) some commercial and political pandering - lost its focus."
2025-06-24,10.0,"Explores a variety different themes, many see that as a flaw but I believe it is a strength. It is important to realize that all these issues, technological, political, environmental, are deeply interconnected. I hope this film ties it all together for someone."
2025-06-23,1.0,Razzie for the worst actor goes to Mark Ruffalo
2025-06-23,8.0,Entertaining and light hearted
2025-06-23,7.0,I like it enough to recommend it.
2025-06-22,10.0,I loved the storyline. I just hoped i saw mickey's life before getting caught by the loan shark and selling macaroons. Loved it.
2025-06-22,9.0,Ok so I went into this thinking it was a movie about Mickey Mouse turning 17 but instead what I got was an amazing sci fi movie with a lot of heart. Edward has gone from being a vampire to being a lovable goofball. Highly recommended.
2025-06-22,6.0,"Definitely worth watching, it's pretty entertaining, just not much to it.  Pattinson does a great job playing different versions of himself, and there are some funny scenes.  Ruffalo is clearly playing Trump and Hollywood is starting to play that hand too often.  Get something new."
2025-06-21,7.0,"Great acting. Fun story. These are the type of original stories we need more of. Yes I know its from a book, but its not another reboot sequel garbage that dominates the muliplex."
2025-06-21,6.0,Robert Pattinson was great but Mark Ruffalo was so so so bad. One of the worst performances since Madonna was in a movie. Terrible. I enjoyed the movie but It would  have been more pleasant to remove my knees with a cheese grater than watch Ruffalo.
2025-06-21,4.0,Mickey17 has an interesting premise a great performance by Robert Pattinson and not much else. The plot is stretched far too long and meandering. The films social commentary attempts to tackle far too many subjects but only exploring a few with any depth. Mark Ruffalo overacts which leads to a villain you cant take seriously. You cant get invested in either the plot or any of the side characters. It certainly is a unique risk but that's where the films merits end.
2025-06-21,8.0,"We should have more movies like this - interesting, quirky, inventive, surprising in places. The ending isn't great, but I very much enjoyed the ride."
2025-06-20,8.0,"I really enjoyed this movie. It reminded me of ""Alien,"" but with a good sense of humor. The acting was good with great performances by Robert Pattinson, Mark Ruffalo, and Naomi Ackie."
2025-06-19,4.0,"There’s just no signs of intelligence in Mickey 17. I wasn’t really sure what it was trying to say beyond ‘3D printing people might not be humanity’s best idea’ and its entertainment value ended at the annoying characters who seemed like caricatures of other characters.  Mickey 17 is an original idea executed in a formulaic manner that breaks no new sci-fi ground.  In short, it's sci-fi that opened no new doors in the mind. Much of the second half drifted so far from the original premise that it was barely worth finishing."
2025-06-19,2.0,"So so bad. I wish i could get my time back, or unwatch or somehow"
2025-06-19,1.0,This movie is shallow and disappointing. Bloody awful.
2025-06-19,4.0,"An incredible concept, lovely filmography, an all-star cast, but the execution goes off the rails. Somewhere in here, there's the makings for a 5-star movie."
2025-06-18,5.0,"I liked it... enough. I thought it was charming. Quirky. Gross at times. I'm not blown over, but it was quite entertaining."
2025-06-18,5.0,"A very tedious movie, moves along at a very slow pace.  
Little to no character development. I would have been just as happy with an ending where they all died."
2025-06-17,10.0,I really liked the movie. As I was watching I really did not know what to expect but it was a very nice movie. What I like especially is that this movie does not try to be super realistic but it is just a funny story. It is pretty goofie but I like that :) 5/5 Ofenkäse
2025-06-17,3.0,Somehow worse than the book
2025-06-17,7.0,The definition of good not great. It was definitely funny how much Mark Ruffalo's character was similar to Trump LMAO
2025-06-17,1.0,Started off horribly and got progressively worse.
2025-06-17,4.0,"It's not quite anything it wants to be. Dystopian, tragic, funny, fully baked..."
2025-06-16,4.0,"It felt like a book trying to be a movie, and that doesn't work well. Pattinson does a fine job, but there's no draw to his expendable character."
2025-06-16,6.0,"I thought it was going to be an action comedy movie, but it wasn’t"
2025-06-16,7.0,"Greetings from Lithuania.

""Mickey 17"" (2025) is a movie directed by Bong Joon Ho, who previously made the brilliant ""Parasite"". ""Mickey 17"" is nothing close to ""Parasite"" in terms of story or overall quality of the film. Its more in common with ""Snowpiercer"" (2013). 

""Mickey 17"" isn't a great movie by any means, its not even particularly very good one either - its just, fine one. Strengths of this film is acting by Robert Pattinson - he is really good here in a dual role. 
Mark Ruffalo clearly had fun at poking at Trump  - its on your nose parody. And speaking of a parody - this film has a heavy political agenda, its a political satire but not a particularly clever one. This film also is a science fiction story, but it doesn't take itself to serious. Its also has commentary on cloning. So as you can see, it has a lot of things going on, but sadly it doesn't do neither one of them very well. 

Overall,  ""Mickey 17"" is a very mixed bag. I did enjoy it mostly because its not a predictable by the numbers flick, but its originality isn't done very good either. It's a fine movie to see it once."
2025-06-16,3.0,"An intriguing premise spoiled by one dimensional characters, a meandering plot, and awful pacing."
2025-06-16,8.0,Strong performances by the actors
2025-06-16,4.0,"Visually polished but emotionally hollow, Mickey 17 is a sci-fi film that struggles where it matters most. The only interesting part was the beginning — it hooked me at first, but things went downhill fast. The story quickly lost momentum and just kept dragging. It felt stretched for no reason, padded with scenes that added nothing.

The direction and cinematography are decent, but they can't save a boring, increasingly frustrating narrative. Acting is passable, but with such a weak script, there's not much for the cast to work with. Emotional impact? Close to zero. I was just waiting for it to end.

Stylish but empty — a promising start that fades into a forgettable mess.
*C*"
2025-06-16,5.0,"Despite making movies for over 2 decades, Bong Joon Ho really didn’t burst onto the world scene until he made Parasite, one of the best films of 2019. Maybe the expectations for his follow up were just too high, and while Mickey 17 is certainly ambitious, it seems that even a craftsman like Bong has found his reach extending his grasp on this one. It presents an equally bleak and warped view of the future, where the earth is failing and the only solution is to look for another world to relocate to. Bong has always exceled at social criticism, but it was usually smart and cleverly worked into the narrative. Here it’s so in your face that it becomes distracting and even annoying. The parody of modern-day politicians, one in particular, as well as the other issues it tries to address are so ham-fisted and over the top that they just made me eyeroll. I’m all for taking shots at real life figures and phenomena, but when you go for the easiest targets every time and hit them as often as possible, it just feels like you’re riding a bandwagon. The exhaustive narrations suggestions that there’s so much that they couldn’t work into the film so is just explained to us via voiceover, and the performances range from compelling to downright cartoonish, with Mark Ruffalo, an actor I generally like, giving the kind of performance that couldn’t even be called scenery chewing. I won’t fault Bong for really going all out with this one rather than playing it safe, but I cant help but feel that trying to juggle so many different tones and so many different genres just undermines whatever the films message is. It the script had been tighter, the runtime shorter and the targets less scattershot, it could have ben something special. As it, it’s a disappointing, albeit remarkable, missed opportunity."
2025-06-16,6.0,"Interesting take on the clone trope in sci fi,Mark Ruffalo and Robert Paterson really knock it out the park,the film really only fails in its pacing and exceedingly long run time of 2 hours and 17 minutes."
2025-06-16,1.0,I stopped watching when they made a facsimile Trump and maga the antagonist. Any movie that shoved their politics in your face that hard is not worth watching.
2025-06-16,4.0,I'm invested but I want it to end
2025-06-16,3.0,"Many words could be used to describe this movie, but good is not one of them."
2025-06-15,2.0,"You constantly think,  it's about to get good. 

(It never does.) 

And when it finally gets near a decent ending, it needlessly goes on another 20 mins."
2025-06-15,2.0,Awful. Surprisingly awful.  Do not see it you will regret spending the time.
2025-06-15,2.0,Stunned to see positive reviews here. Read the book Mickey 7. Why Bong took such liberties is beyond me. Took a good story and turned it into crap.
